chemin du ficher,nom du paquet,nom de la classe,NOC,WMC,CBO,CC,RFC
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\data\statistics\DefaultMultiValueCategoryDatasetTest.java,src.test.java.org.jfree.data.statistics,DefaultMultiValueCategoryDatasetTest.java,0,8,10,12.0,38.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\data\statistics\DefaultBoxAndWhiskerXYDataset.java,src.main.java.org.jfree.data.statistics,DefaultBoxAndWhiskerXYDataset.java,0,3,12,54.0,37.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\data\category\DefaultCategoryDataset.java,src.main.java.org.jfree.data.category,DefaultCategoryDataset.java,1,11,18,31.0,37.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\plot\Crosshair.java,src.main.java.org.jfree.chart.plot,Crosshair.java,3,17,12,43.0,37.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\StatisticalBarRenderer.java,src.main.java.org.jfree.chart.renderer.category,StatisticalBarRenderer.java,0,3,26,76.0,37.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\XYAreaRenderer2.java,src.main.java.org.jfree.chart.renderer.xy,XYAreaRenderer2.java,1,3,34,40.0,37.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\plot\CombinedRangeCategoryPlotTest.java,src.test.java.org.jfree.chart.plot,CombinedRangeCategoryPlotTest.java,0,6,23,8.0,37.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\WaterfallBarRenderer.java,src.main.java.org.jfree.chart.renderer.category,WaterfallBarRenderer.java,0,5,28,57.0,36.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\renderer\category\LineAndShapeRendererTest.java,src.test.java.org.jfree.chart.renderer.category,LineAndShapeRendererTest.java,0,7,17,21.0,36.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,src.main.java.org.jfree.chart.annotations,CategoryLineAnnotation.java,0,7,24,37.0,36.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\GroupedStackedBarRenderer.java,src.main.java.org.jfree.chart.renderer.category,GroupedStackedBarRenderer.java,0,2,26,41.0,36.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\data\DefaultKeyedValues2D.java,src.main.java.org.jfree.data,DefaultKeyedValues2D.java,0,8,13,62.0,36.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\data\statistics\DefaultStatisticalCategoryDatasetTest.java,src.test.java.org.jfree.data.statistics,DefaultStatisticalCategoryDatasetTest.java,0,11,10,15.0,36.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\renderer\category\StatisticalBarRendererTest.java,src.test.java.org.jfree.chart.renderer.category,StatisticalBarRendererTest.java,0,11,20,8.0,35.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\StandardXYItemRendererTest.java,src.test.java.org.jfree.chart.renderer.xy,StandardXYItemRendererTest.java,0,7,23,9.0,35.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\plot\dial\DialPlotTest.java,src.test.java.org.jfree.chart.plot.dial,DialPlotTest.java,0,10,16,12.0,35.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\AbstractXYItemRendererTest.java,src.test.java.org.jfree.chart.renderer.xy,AbstractXYItemRendererTest.java,0,7,20,8.0,35.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\StackedAreaRenderer.java,src.main.java.org.jfree.chart.renderer.category,StackedAreaRenderer.java,0,2,22,51.0,35.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\XYBlockRendererTest.java,src.test.java.org.jfree.chart.renderer.xy,XYBlockRendererTest.java,0,9,16,12.0,35.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\data\time\TimePeriodValuesCollectionTest.java,src.test.java.org.jfree.data.time,TimePeriodValuesCollectionTest.java,0,6,13,11.0,34.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\StackedBarRenderer.java,src.main.java.org.jfree.chart.renderer.category,StackedBarRenderer.java,1,2,27,50.0,34.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\plot\CombinedDomainXYPlotTest.java,src.test.java.org.jfree.chart.plot,CombinedDomainXYPlotTest.java,0,7,26,9.0,34.0
